,Unnamed: 0,index,ID,duration,start_seg,end_seg,wav,wav_format,wav_opts,spk_id,spk_id_format,spk_id_opts,wrd,wrd_format,wrd_opts,char,char_format,char_opts
17,87,262845,EllenJorgensen_2016T_46.64_54.94,8.3,46.64,54.94,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,this type of science is moving much faster than the regulatory mechanisms that govern it and so for the past six years,string,,t h i s _ t y p e _ o f _ s c i e n c e _ i s _ m o v i n g _ m u c h _ f a s t e r _ t h a n _ t h e _ r e g u l a t o r y _ m e c h a n i s m s _ t h a t _ g o v e r n _ i t _ a n d _ s o _ f o r _ t h e _ p a s t _ s i x _ y e a r s,string,
18,159,262917,EllenJorgensen_2016T_538.58_543.57,4.99,538.58,543.57,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,and what 's interesting to me is that these scientists are being supported,string,,a n d _ w h a t _ ' s _ i n t e r e s t i n g _ t o _ m e _ i s _ t h a t _ t h e s e _ s c i e n t i s t s _ a r e _ b e i n g _ s u p p o r t e d,string,
19,31,98081,EllenJorgensen_2012G_225.24_229.25,4.01,225.24,229.25,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,we work in groups in big cities,string,,w e _ w o r k _ i n _ g r o u p s _ i n _ b i g _ c i t i e s,string,
23,127,262885,EllenJorgensen_2016T_326.57_334.23,7.66,326.57,334.23,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, that 's great  you still need a professional lab to do the work in you 're not going to do anything meaningful outside of a professional lab i mean,string,,_ t h a t _ ' s _ g r e a t _ _ y o u _ s t i l l _ n e e d _ a _ p r o f e s s i o n a l _ l a b _ t o _ d o _ t h e _ w o r k _ i n _ y o u _ ' r e _ n o t _ g o i n g _ t o _ d o _ a n y t h i n g _ m e a n i n g f u l _ o u t s i d e _ o f _ a _ p r o f e s s i o n a l _ l a b _ i _ m e a n,string,
24,126,262884,EllenJorgensen_2016T_315.13_325.17,10.04,315.13,325.17,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,it 's going to take the cost of the average materials for an experiment from thousands of dollars to hundreds of dollars and it cuts the time a lot too it can cut it from weeks,string,,i t _ ' s _ g o i n g _ t o _ t a k e _ t h e _ c o s t _ o f _ t h e _ a v e r a g e _ m a t e r i a l s _ f o r _ a n _ e x p e r i m e n t _ f r o m _ t h o u s a n d s _ o f _ d o l l a r s _ t o _ h u n d r e d s _ o f _ d o l l a r s _ a n d _ i t _ c u t s _ t h e _ t i m e _ a _ l o t _ t o o _ i t _ c a n _ c u t _ i t _ f r o m _ w e e k s,string,
25,161,262919,EllenJorgensen_2016T_550.77_554.22,3.45,550.77,554.22,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,to spend all their time doing research,string,,t o _ s p e n d _ a l l _ t h e i r _ t i m e _ d o i n g _ r e s e a r c h,string,
26,26,98076,EllenJorgensen_2012G_194.15_198.51,4.36,194.15,198.51,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,but now three years later here 's where we stand ,string,,b u t _ n o w _ t h r e e _ y e a r s _ l a t e r _ h e r e _ ' s _ w h e r e _ w e _ s t a n d _,string,
27,131,262889,EllenJorgensen_2016T_357.01_364.87,7.86,357.01,364.87,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,because they 're accusing each other of fraudulent claims and then they 've got people saying oh well i signed my notebook here or there,string,,b e c a u s e _ t h e y _ ' r e _ a c c u s i n g _ e a c h _ o t h e r _ o f _ f r a u d u l e n t _ c l a i m s _ a n d _ t h e n _ t h e y _ ' v e _ g o t _ p e o p l e _ s a y i n g _ o h _ w e l l _ i _ s i g n e d _ m y _ n o t e b o o k _ h e r e _ o r _ t h e r e,string,
29,50,98100,EllenJorgensen_2012G_339.79_343.02,3.23,339.79,343.02,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,that 's a lot more than conventional science has done,string,,t h a t _ ' s _ a _ l o t _ m o r e _ t h a n _ c o n v e n t i o n a l _ s c i e n c e _ h a s _ d o n e,string,
30,57,98107,EllenJorgensen_2012G_376.38_379.97,3.59,376.38,379.97,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,literally about as probable as a snowstorm in the,string,,l i t e r a l l y _ a b o u t _ a s _ p r o b a b l e _ a s _ a _ s n o w s t o r m _ i n _ t h e,string,
32,114,262872,EllenJorgensen_2016T_231.97_236.27,4.3,231.97,236.27,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,the repair is made  and now the genome is safe again,string,,t h e _ r e p a i r _ i s _ m a d e _ _ a n d _ n o w _ t h e _ g e n o m e _ i s _ s a f e _ a g a i n,string,
33,18,98068,EllenJorgensen_2012G_130.01_138.49,8.48,130.01,138.49,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,it 's a nonprofit a community biotech lab in brooklyn new york  and the idea was people could come they could take classes,string,,i t _ ' s _ a _ n o n p r o f i t _ a _ c o m m u n i t y _ b i o t e c h _ l a b _ i n _ b r o o k l y n _ n e w _ y o r k _ _ a n d _ t h e _ i d e a _ w a s _ p e o p l e _ c o u l d _ c o m e _ t h e y _ c o u l d _ t a k e _ c l a s s e s,string,
34,164,262922,EllenJorgensen_2016T_565.22_574.89,9.67,565.22,574.89,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,so i would urge you to really learn about these types of technologies  because really only in that way are we going to be able to guide,string,,s o _ i _ w o u l d _ u r g e _ y o u _ t o _ r e a l l y _ l e a r n _ a b o u t _ t h e s e _ t y p e s _ o f _ t e c h n o l o g i e s _ _ b e c a u s e _ r e a l l y _ o n l y _ i n _ t h a t _ w a y _ a r e _ w e _ g o i n g _ t o _ b e _ a b l e _ t o _ g u i d e,string,
37,55,98105,EllenJorgensen_2012G_365.22_369.49,4.27,365.22,369.49,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,working with the safe organisms that we normally work with,string,,w o r k i n g _ w i t h _ t h e _ s a f e _ o r g a n i s m s _ t h a t _ w e _ n o r m a l l y _ w o r k _ w i t h,string,
38,44,98094,EllenJorgensen_2012G_304.96_310.67,5.71,304.96,310.67,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, so the united nations did just that and they recently issued a report on this whole area ,string,,_ s o _ t h e _ u n i t e d _ n a t i o n s _ d i d _ j u s t _ t h a t _ a n d _ t h e y _ r e c e n t l y _ i s s u e d _ a _ r e p o r t _ o n _ t h i s _ w h o l e _ a r e a _,string,
39,107,262865,EllenJorgensen_2016T_186.47_190.69,4.22,186.47,190.69,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,what does it do it calls its first responders ,string,,w h a t _ d o e s _ i t _ d o _ i t _ c a l l s _ i t s _ f i r s t _ r e s p o n d e r s _,string,
40,128,262886,EllenJorgensen_2016T_334.23_338.55,4.32,334.23,338.55,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, don 't listen to anyone who says you can do this sort of stuff on your kitchen table,string,,_ d o n _ ' t _ l i s t e n _ t o _ a n y o n e _ w h o _ s a y s _ y o u _ c a n _ d o _ t h i s _ s o r t _ o f _ s t u f f _ o n _ y o u r _ k i t c h e n _ t a b l e,string,
41,15,98065,EllenJorgensen_2012G_110.78_112.39,1.61,110.78,112.39,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,so,string,,s o,string,
42,85,262843,EllenJorgensen_2016T_30.74_36.63,5.89,30.74,36.63,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,should we edit a human embryo  and my personal favorite,string,,s h o u l d _ w e _ e d i t _ a _ h u m a n _ e m b r y o _ _ a n d _ m y _ p e r s o n a l _ f a v o r i t e,string,
44,143,262901,EllenJorgensen_2016T_432.39_446.48,14.09,432.39,446.48,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,and this is a line of research that people are going to do  but right now if you want to get into the whole body you 're probably going to have to use a virus so you take the virus you put the crispr into it you let the virus infect the cell  but now you 've got this virus in there ,string,,a n d _ t h i s _ i s _ a _ l i n e _ o f _ r e s e a r c h _ t h a t _ p e o p l e _ a r e _ g o i n g _ t o _ d o _ _ b u t _ r i g h t _ n o w _ i f _ y o u _ w a n t _ t o _ g e t _ i n t o _ t h e _ w h o l e _ b o d y _ y o u _ ' r e _ p r o b a b l y _ g o i n g _ t o _ h a v e _ t o _ u s e _ a _ v i r u s _ s o _ y o u _ t a k e _ t h e _ v i r u s _ y o u _ p u t _ t h e _ c r i s p r _ i n t o _ i t _ y o u _ l e t _ t h e _ v i r u s _ i n f e c t _ t h e _ c e l l _ _ b u t _ n o w _ y o u _ ' v e _ g o t _ t h i s _ v i r u s _ i n _ t h e r e _,string,
47,65,98115,EllenJorgensen_2012G_439.17_444.61,5.44,439.17,444.61,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,wasn 't that long ago we were asking well what would anyone do with a personal computer,string,,w a s n _ ' t _ t h a t _ l o n g _ a g o _ w e _ w e r e _ a s k i n g _ w e l l _ w h a t _ w o u l d _ a n y o n e _ d o _ w i t h _ a _ p e r s o n a l _ c o m p u t e r,string,
49,96,262854,EllenJorgensen_2016T_105.41_113.32,7.91,105.41,113.32,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,it 's a two part system  you 've got a cas9 protein and something called a guide rna i like to think of it as a guided missile ,string,,i t _ ' s _ a _ t w o _ p a r t _ s y s t e m _ _ y o u _ ' v e _ g o t _ a _ c a s 9 _ p r o t e i n _ a n d _ s o m e t h i n g _ c a l l e d _ a _ g u i d e _ r n a _ i _ l i k e _ t o _ t h i n k _ o f _ i t _ a s _ a _ g u i d e d _ m i s s i l e _,string,
51,117,262875,EllenJorgensen_2016T_249.61_254.82,5.21,249.61,254.82,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,so you can change a letter  you can take letters out but most importantly you can,string,,s o _ y o u _ c a n _ c h a n g e _ a _ l e t t e r _ _ y o u _ c a n _ t a k e _ l e t t e r s _ o u t _ b u t _ m o s t _ i m p o r t a n t l y _ y o u _ c a n,string,
52,1,98051,EllenJorgensen_2012G_15.85_20.12,4.27,15.85,20.12,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,reading and writing dna code is getting easier and cheaper ,string,,r e a d i n g _ a n d _ w r i t i n g _ d n a _ c o d e _ i s _ g e t t i n g _ e a s i e r _ a n d _ c h e a p e r _,string,
54,147,262905,EllenJorgensen_2016T_465.05_470.97,5.92,465.05,470.97,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,but it ain 't plug and play not by a long shot so is it really easy ,string,,b u t _ i t _ a i n _ ' t _ p l u g _ a n d _ p l a y _ n o t _ b y _ a _ l o n g _ s h o t _ s o _ i s _ i t _ r e a l l y _ e a s y _,string,
55,119,262877,EllenJorgensen_2016T_258.59_268.47,9.88,258.59,268.47,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,crispr is going to be amazing in terms of the number of different scientific advances that it 's going to catalyze  the thing that 's special about it is this ,string,,c r i s p r _ i s _ g o i n g _ t o _ b e _ a m a z i n g _ i n _ t e r m s _ o f _ t h e _ n u m b e r _ o f _ d i f f e r e n t _ s c i e n t i f i c _ a d v a n c e s _ t h a t _ i t _ ' s _ g o i n g _ t o _ c a t a l y z e _ _ t h e _ t h i n g _ t h a t _ ' s _ s p e c i a l _ a b o u t _ i t _ i s _ t h i s _,string,
59,20,98070,EllenJorgensen_2012G_144.78_150.14,5.36,144.78,150.14,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,none of my previous experience prepared me for what came next can you guess,string,,n o n e _ o f _ m y _ p r e v i o u s _ e x p e r i e n c e _ p r e p a r e d _ m e _ f o r _ w h a t _ c a m e _ n e x t _ c a n _ y o u _ g u e s s,string,
60,21,98071,EllenJorgensen_2012G_151.18_157.95,6.77,151.18,157.95,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,, the press started calling us  and the more we talked about how great it was to increase science literacy ,string,,_ t h e _ p r e s s _ s t a r t e d _ c a l l i n g _ u s _ _ a n d _ t h e _ m o r e _ w e _ t a l k e d _ a b o u t _ h o w _ g r e a t _ i t _ w a s _ t o _ i n c r e a s e _ s c i e n c e _ l i t e r a c y _,string,
61,51,98101,EllenJorgensen_2012G_343.07_352.26,9.19,343.07,352.26,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,now  we follow state and local regulations  we dispose of our waste properly we follow safety procedures we don 't work with pathogens ,string,,n o w _ _ w e _ f o l l o w _ s t a t e _ a n d _ l o c a l _ r e g u l a t i o n s _ _ w e _ d i s p o s e _ o f _ o u r _ w a s t e _ p r o p e r l y _ w e _ f o l l o w _ s a f e t y _ p r o c e d u r e s _ w e _ d o n _ ' t _ w o r k _ w i t h _ p a t h o g e n s _,string,
67,19,98069,EllenJorgensen_2012G_138.32_143.95,5.63,138.32,143.95,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,and putter around in the lab in a very open friendly atmosphere ,string,,a n d _ p u t t e r _ a r o u n d _ i n _ t h e _ l a b _ i n _ a _ v e r y _ o p e n _ f r i e n d l y _ a t m o s p h e r e _,string,
68,77,98127,EllenJorgensen_2012G_513.84_520.12,6.28,513.84,520.12,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,you can send weather balloons up into the stratosphere  collect microbes see what 's up there,string,,y o u _ c a n _ s e n d _ w e a t h e r _ b a l l o o n s _ u p _ i n t o _ t h e _ s t r a t o s p h e r e _ _ c o l l e c t _ m i c r o b e s _ s e e _ w h a t _ ' s _ u p _ t h e r e,string,
69,151,262909,EllenJorgensen_2016T_485.53_493.74,8.21,485.53,493.74,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,by changing particular spots in the genome we 're a long way away from figuring out how to give a pig wings for example ,string,,b y _ c h a n g i n g _ p a r t i c u l a r _ s p o t s _ i n _ t h e _ g e n o m e _ w e _ ' r e _ a _ l o n g _ w a y _ a w a y _ f r o m _ f i g u r i n g _ o u t _ h o w _ t o _ g i v e _ a _ p i g _ w i n g s _ f o r _ e x a m p l e _,string,
70,149,262907,EllenJorgensen_2016T_475.97_483.54,7.57,475.97,483.54,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, it is now the other thing is we don 't really know that much about how to make,string,,_ i t _ i s _ n o w _ t h e _ o t h e r _ t h i n g _ i s _ w e _ d o n _ ' t _ r e a l l y _ k n o w _ t h a t _ m u c h _ a b o u t _ h o w _ t o _ m a k e,string,
72,120,262878,EllenJorgensen_2016T_268.37_273.61,5.24,268.37,273.61,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, modular targeting system i mean we 've been shoving dna into organisms for years right ,string,,_ m o d u l a r _ t a r g e t i n g _ s y s t e m _ i _ m e a n _ w e _ ' v e _ b e e n _ s h o v i n g _ d n a _ i n t o _ o r g a n i s m s _ f o r _ y e a r s _ r i g h t _,string,
74,74,98124,EllenJorgensen_2012G_495.68_502.05,6.37,495.68,502.05,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,if that sushi is really tuna  or if that goat cheese that you paid so much for is really goat 's,string,,i f _ t h a t _ s u s h i _ i s _ r e a l l y _ t u n a _ _ o r _ i f _ t h a t _ g o a t _ c h e e s e _ t h a t _ y o u _ p a i d _ s o _ m u c h _ f o r _ i s _ r e a l l y _ g o a t _ ' s,string,
75,142,262900,EllenJorgensen_2016T_430.55_432.79,2.24,430.55,432.79,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,precursor of crispr,string,,p r e c u r s o r _ o f _ c r i s p r,string,
76,33,98083,EllenJorgensen_2012G_234.4_239.99,5.59,234.4,239.99,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,we reverse engineer lab equipment we genetically engineer bacteria ,string,,w e _ r e v e r s e _ e n g i n e e r _ l a b _ e q u i p m e n t _ w e _ g e n e t i c a l l y _ e n g i n e e r _ b a c t e r i a _,string,
77,106,262864,EllenJorgensen_2016T_179.9_186.57,6.67,179.9,186.57,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, and all of a sudden  you 've got a cell that 's in total panic because now it 's got a piece of dna that 's broken,string,,_ a n d _ a l l _ o f _ a _ s u d d e n _ _ y o u _ ' v e _ g o t _ a _ c e l l _ t h a t _ ' s _ i n _ t o t a l _ p a n i c _ b e c a u s e _ n o w _ i t _ ' s _ g o t _ a _ p i e c e _ o f _ d n a _ t h a t _ ' s _ b r o k e n,string,
78,29,98079,EllenJorgensen_2012G_213.53_217.61,4.08,213.53,217.61,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,and the cool thing is they each have their own individual flavor,string,,a n d _ t h e _ c o o l _ t h i n g _ i s _ t h e y _ e a c h _ h a v e _ t h e i r _ o w n _ i n d i v i d u a l _ f l a v o r,string,
80,82,262840,EllenJorgensen_2016T_12.88_21.5,8.62,12.88,21.5,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,, has everybody heard of crispr i would be shocked if you hadn 't this is a technology it 's for genome editing,string,,_ h a s _ e v e r y b o d y _ h e a r d _ o f _ c r i s p r _ i _ w o u l d _ b e _ s h o c k e d _ i f _ y o u _ h a d n _ ' t _ t h i s _ i s _ a _ t e c h n o l o g y _ i t _ ' s _ f o r _ g e n o m e _ e d i t i n g,string,
81,80,98130,EllenJorgensen_2012G_530.53_541.5,10.97,530.53,541.5,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,you can also do an art science project some of these are really spectacular  and they look at social ecological problems from a completely different perspective it 's really cool,string,,y o u _ c a n _ a l s o _ d o _ a n _ a r t _ s c i e n c e _ p r o j e c t _ s o m e _ o f _ t h e s e _ a r e _ r e a l l y _ s p e c t a c u l a r _ _ a n d _ t h e y _ l o o k _ a t _ s o c i a l _ e c o l o g i c a l _ p r o b l e m s _ f r o m _ a _ c o m p l e t e l y _ d i f f e r e n t _ p e r s p e c t i v e _ i t _ ' s _ r e a l l y _ c o o l,string,
82,93,262851,EllenJorgensen_2016T_82.42_88.52,6.1,82.42,88.52,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2016T.sph,sph,,EllenJorgensen_2016T,string,,if you 're trying to crispr a genome  the first thing that you have to do is damage the dna,string,,i f _ y o u _ ' r e _ t r y i n g _ t o _ c r i s p r _ a _ g e n o m e _ _ t h e _ f i r s t _ t h i n g _ t h a t _ y o u _ h a v e _ t o _ d o _ i s _ d a m a g e _ t h e _ d n a,string,
84,69,98119,EllenJorgensen_2012G_456.46_461,4.54,456.46,461.0,/local_disk/idyie/tnguyen/TEDLIUM_release-3/legacy/train/sph/EllenJorgensen_2012G.sph,sph,,EllenJorgensen_2012G,string,,wanted to know whose dog was leaving little presents on his street,string,,w a n t e d _ t o _ k n o w _ w h o s e _ d o g _ w a s _ l e a v i n g _ l i t t l e _ p r e s e n t s _ o n _ h i s _ s t r e e t,string,
